,caseid,tname,tid
9128,119,Solar8000/ART_SBP,12fcda7320a3e07a9ea40c5499079e24c104ace7
9446,124,SNUADC/PLETH,f7630caf654e368935bff85a13e3484fa72bd2e7
9447,124,Solar8000/ART_DBP,73e9d5221c1c70b1870f96cc8c66491dec4488e9
9448,124,Solar8000/ART_MBP,601db06030c45ec10fdeb91bbfeee18cefcd3c2a
9449,124,Solar8000/ART_SBP,d209418217775c3a56e5b02875494013f554fb9f
9543,125,SNUADC/PLETH,835addd817c85e9639e40961ef90dd2b343c906a
9544,125,Solar8000/ART_DBP,aac230e1d13546fc7afbbce9445a16cfa7e137d1
9545,125,Solar8000/ART_MBP,35a363fc2757e4f6f0a8546eea923e07fc8427b7
9546,125,Solar8000/ART_SBP,3f102ce81a2026cca2fb80c7162f207c6d14863c
9627,126,SNUADC/PLETH,3cf042a7dc1df387109f26ddeb073cdf4d699e7a
9628,126,Solar8000/ART_DBP,ea9667f9d7594df612c5b9a75e7f65521a2b30e0
9629,126,Solar8000/ART_MBP,7ce9a91aaade2ab5508b496ace2dcaff0ee710b8
9630,126,Solar8000/ART_SBP,640302e2f4084ca083858afc355e4fc55659310e
9768,128,SNUADC/PLETH,4052d83e5f12813a260f8e3a92a10f2ba7a375ec
9769,128,Solar8000/ART_DBP,a2ca05c37ac01c3459440709e50ad20c071e8841
9770,128,Solar8000/ART_MBP,6cb93155ef9ebc2c0a4b6be92cb67c4ca039a0f5
9771,128,Solar8000/ART_SBP,ebf2ab3300aaf22b21ded530649511cdda8863cc
9909,130,SNUADC/PLETH,170e13673b683eaa5f93ea704365297234be293c
9910,130,Solar8000/ART_DBP,13b2c559f46f8f3e5df34f163f8c5497edbdaff7
9911,130,Solar8000/ART_MBP,ed483985881b9c2141aa26443cc171bf929a309f
9912,130,Solar8000/ART_SBP,0d6252af50621a0f051ba3837ea0f64814158e5d
10027,132,SNUADC/PLETH,546f43bb7b31474893efbd78790051ac5e10acff
10028,132,Solar8000/ART_DBP,dee004370a91a6c6642005002131cf462fc072e7
10029,132,Solar8000/ART_MBP,88545bdeceaad070a2ef0cb38c74061311f7eb1b
10030,132,Solar8000/ART_SBP,6baae8f5f6110d41f287cc7c1575fff7e06c57c5
10253,135,SNUADC/PLETH,d5dd16851f4c041894cd58b7f988e390d1181da6
10254,135,Solar8000/ART_DBP,e2371b9c8bd6a7938fc9e84078b2d446198c1bfa
10255,135,Solar8000/ART_MBP,0ce544caf6204a26e4d549c7e14b339f11ea8b8f
10256,135,Solar8000/ART_SBP,278e30331295908b431485103b54a5b06b552107
10334,136,SNUADC/PLETH,df34414543c1e6be71ae7381a059b82d41ec9403
10335,136,Solar8000/ART_DBP,e389b6b55ebf2305bace70866b45fea17589d73e
10336,136,Solar8000/ART_MBP,efe9008fb8465c3ea1b62889ba39be9f2eddd685
